State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
New Hampshire,32.0,2009,43.0,81181.0,44.23,New Hampshire2009,0.0,0.09675471990095946,0.46113741875580316,1.270208913649025,1.270208913649025,0
New Jersey,34.5,2009,53.0,81999.0,42.63,New Jersey2009,0.0,0.11311253604670246,0.5563264014254566,1.1703896560617073,1.1703896560617073,0
New Mexico,25.3,2009,54.1,55118.0,23.96,New Mexico2009,0.0,0.08854450767744014,0.6920777407924407,1.1511457102974336,1.1511457102974336,0
New York,32.4,2009,44.9,63567.0,45.26,New York2009,0.0,0.12028298737117143,0.3835010264811397,1.1389119299919126,1.1389119299919126,0
North Carolina,26.5,2009,59.2,53047.0,24.84,North Carolina2009,0.0,0.09189276534876964,0.5714905124823995,1.1657117314440248,1.1657117314440248,0
North Dakota,25.8,2009,39.0,63388.0,19.48,North Dakota2009,0.0,0.10459591041869523,1.4120577734501785,1.5982375851996105,1.5982375851996105,0
Ohio,24.1,2009,49.9,58077.0,26.52,Ohio2009,0.0,0.08764285454677619,0.6663000654212401,1.1730326379297813,1.1730326379297813,0
Oklahoma,22.7,2009,59.5,58075.0,20.39,Oklahoma2009,0.0,0.0857252265419468,0.8724887459807074,1.2490780473545746,1.2490780473545746,0
Oregon,29.2,2009,47.3,62151.0,21.9,Oregon2009,0.0006944516783160936,0.08649395762206687,0.5488641413320328,1.1863371809461876,1.1863371809461876,0
Pennsylvania,26.4,2009,48.1,60979.0,28.25,Pennsylvania2009,0.0,0.09828546344757724,0.6121279756879959,1.1989797399966233,1.1989797399966233,0
Rhode Island,30.5,2009,50.1,65362.0,41.68,Rhode Island2009,0.0,0.09412430939226518,0.3844771112865035,1.1607813733228098,1.1607813733228098,0
South Carolina,24.3,2009,63.0,52028.0,24.67,South Carolina2009,0.0,0.0761941422988181,0.74102368507793,1.1149814003861185,1.1149814003861185,0
South Dakota,25.1,2009,43.9,58009.0,21.65,South Dakota2009,0.0,0.09860054127198918,0.9826549391069013,1.5059621109607577,1.5059621109607577,0
Tennessee,23.0,2009,57.5,51289.0,25.53,Tennessee2009,0.0,0.0834268333002711,0.6901689479600608,1.1650667856906698,1.1650667856906698,0
Texas,25.5,2009,65.7,60097.0,29.21,Texas2009,0.0,0.09653653523940012,0.8983758264070586,1.1722635918684021,1.1722635918684021,0
Utah,28.5,2009,48.7,74042.0,19.94,Utah2009,0.0,0.08409103651789007,0.5475839173736629,1.205445960900037,1.205445960900037,0
