State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
Tennessee,23.0,2009,540000.0,730200.0,1754400.0,2087485.0,3523861.0,57.5,51289.0,252332.8,25.53,2854803.0,0.0,Low,0,1,Tennessee2009
Texas,25.5,2009,2355100.0,3132400.0,6628200.0,10884452.0,14202794.0,65.7,60097.0,1169607.7,29.21,8830974.0,0.0,Low,0,1,Texas2009
Utah,28.5,2009,329400.0,387900.0,638200.0,742250.0,1633982.0,48.7,74042.0,113985.4,19.94,1217120.0,0.0,Low,0,1,Utah2009
Vermont,33.1,2009,57200.0,59800.0,179500.0,156687.0,414181.0,42.2,66227.0,26099.2,37.38,292317.0,0.0,Low,0,1,Vermont2009
Virginia,34.0,2009,693900.0,881000.0,2215800.0,2429456.0,4758119.0,55.4,76586.0,410967.4,26.23,3732468.0,15.0,Low,0,1,Virginia2009
Washington,31.0,2009,591200.0,812100.0,1875500.0,2031913.0,3815691.0,46.0,76448.0,351245.0,19.41,3101571.0,0.0,Low,0,1,Washington2009
West Virginia,17.3,2009,151700.0,197600.0,501400.0,706207.0,899038.0,51.5,51255.0,63600.7,19.56,700103.0,0.0,Low,0,1,West Virginia2009
Wisconsin,25.7,2009,518600.0,623500.0,1606300.0,1764015.0,3444622.0,41.1,64859.0,247210.0,27.57,2526673.0,0.0,Low,0,1,Wisconsin2009
Wyoming,23.8,2009,52100.0,63300.0,146400.0,524122.0,387473.0,41.3,66420.0,36252.0,17.94,214199.0,0.0,Low,0,1,Wyoming2009
Alabama,21.9,2010,436900.0,523500.0,1282300.0,1942188.0,2460298.0,62.5,50975.0,177249.2,26.44,2211550.0,0.0,Low,0,1,Alabama2010
Alaska,27.9,2010,64000.0,85700.0,200000.0,639266.0,443904.0,1.5,72039.0,53331.6,43.29,228407.0,0.0,Low,0,1,Alaska2010
Arizona,25.9,2010,582700.0,745100.0,1634700.0,1434861.0,3181571.0,60.8,58400.0,251153.0,28.4,2201251.0,0.0,Low,0,1,Arizona2010
Arkansas,19.5,2010,258500.0,315400.0,766200.0,1129224.0,1541272.0,59.8,48053.0,101486.5,21.57,945198.0,0.0,Low,0,1,Arkansas2010
