State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key,norm_Av_temperature,norm_Percentage_pop_with_bachelors,norm_Adults 19-25,norm_Adults 26-34,norm_Adults 35-54,norm_EnergyC_addunit,norm_num_jobs_tot,norm_Median_income,norm_GDP,norm_Elec_price,norm_Tot_vehicle
Utah,34.6,2017,325400.0,398900.0,736000.0,827453.0,1995293.0,50.2,77135.0,168649.9,25.32,925052.0,256.0,Low,0,1,Utah2017,0.6723585912486659,0.3763440860215054,0.07494089834515366,0.06475067269708594,0.05950680105685488,0.049739963315456034,0.06753567840173913,0.6203741550070744,0.04728705071523973,0.10546500479386386,0.03860958805964665
Vermont,38.3,2017,52500.0,65500.0,151900.0,134076.0,435861.0,45.0,70385.0,32266.1,42.79,221936.0,65.0,Low,0,1,Vermont2017,0.6168623265741728,0.45591397849462356,0.003257157867086945,0.0011259327112078015,0.0023485663959291517,0.0005935473591111788,0.002130713631785909,0.5142587643452288,0.002077372891682645,0.3148370086289549,0.0031215257530921884
Virginia,38.7,2017,717900.0,983000.0,2188700.0,2401427.0,5228265.0,57.7,78265.0,511114.9,26.89,3251339.0,912.0,Medium,1,2,Virginia2017,0.7524012806830309,0.4645161290322581,0.17804045179931705,0.17621801110665827,0.20166356786378314,0.16130290945943246,0.20313147210242324,0.6381386574437982,0.1608103013934323,0.12428092042186004,0.1560232409973236
Washington,35.5,2017,628700.0,965900.0,1899400.0,2075340.0,4432281.0,47.9,79071.0,519409.6,23.44,2925765.0,4913.0,High,2,3,Washington2017,0.647812166488794,0.3956989247311828,0.15460992907801419,0.17295471460468312,0.1733535570995205,0.1381899314691665,0.1697466848994888,0.6508096211287533,0.16355990006015853,0.08293384467881114,0.13959068876213884
West Virginia,20.2,2017,148600.0,178300.0,448700.0,753016.0,888859.0,55.0,51900.0,74820.1,26.4,562984.0,0.0,Low,0,1,West Virginia2017,0.7235859124866595,0.06666666666666662,0.028500131337010768,0.02265223946107899,0.03139250415891966,0.04446388440810485,0.02113014305920517,0.22365980191793744,0.016183539680580217,0.1184084372003835,0.02033509033351105
Wisconsin,30.4,2017,495600.0,643300.0,1441400.0,1817947.0,3679062.0,46.5,70164.0,318310.4,31.54,2092584.0,0.0,Low,0,1,Wisconsin2017,0.6328708644610458,0.286021505376344,0.11964801681113738,0.1113910039884735,0.12853508171053918,0.11994596975389261,0.13815552724781857,0.5107844678509669,0.09689780351661693,0.18000958772770853,0.0975379133443737
Wyoming,27.6,2017,48500.0,69400.0,133100.0,534840.0,398939.0,43.4,65803.0,36980.7,24.4,193523.0,0.0,Low,0,1,Wyoming2017,0.5997865528281751,0.22580645161290322,0.002206461780929866,0.0018701933169214327,0.0005088560524513162,0.028999615406260983,0.0005821484431555533,0.4422260650841063,0.0036402091454528305,0.09443911792905081,0.0016874489943267332
Alabama,25.5,2018,419500.0,554400.0,1192600.0,1956413.0,2692095.0,64.0,53879.0,223859.3,28.27,2161212.0,120.0,Low,0,1,Alabama2018,0.8196371398078975,0.18064516129032254,0.09965852377199895,0.09442567889925765,0.10418827673940699,0.12976041071719432,0.09676062072794056,0.2547712623801289,0.06558833860157148,0.1408197507190796,0.10100174397825804
Alaska,30.2,2018,62200.0,93400.0,182800.0,604644.0,454830.0,6.7,74161.0,54899.6,56.8,183270.0,24.0,Low,0,1,Alaska2018,0.20811099252934898,0.28172043010752684,0.005805095876017862,0.006450258582851472,0.005372345630687934,0.03394730824784167,0.0029263025235883363,0.573620499921396,0.00958012060086423,0.4827420901246405,0.001169953868587733
Arizona,29.7,2018,645900.0,841100.0,1702900.0,1542208.0,3854674.0,63.5,67201.0,351879.5,31.8,2391772.0,2665.0,High,2,3,Arizona2018,0.8143009605122732,0.27096774193548384,0.15912792224848962,0.14913837522184692,0.15412466973285058,0.10040164741642457,0.14552096329965092,0.46420374155007077,0.10802557819239784,0.1831255992329818,0.11263869669359831
